number,sys_created_on,sys_created_by,opened_at,resolved_at,reopened_time,activity_due,closed_at,closed_by,due_date,sla_due,contact_type,category,urgency,short_description,priority,state,escalation
INC23,2020-01-11 17:58:43,UserF,2020-02-22 16:49:14,,,,,UserG,,,email,Help,1 High,This is a description,3 - Moderate,In Progress,High
INC24,2020-02-22 16:13:15,UserA,2020-03-25 17:24:40,,,,,UserB,,,email,Help,1 High,This is a description,2 - High,In Progress,New
INC25,2020-01-04 19:42:18,UserB,2020-02-12 20:20:30,,2020-07-13 20:52:03,,,UserE,,,email,Help,1 High,This is a description,3 - Moderate,Normal,High
INC26,2020-01-01 19:07:30,UserC,2020-02-04 00:23:56,,,,,UserA,,,walk-in,Help,3 Low,This is a description,2 - High,Normal,Normal
INC27,2020-02-21 20:54:27,UserB,2020-02-17 06:29:36,2020-07-02 19:47:17,,,,UserA,2020-04-06 21:45:13,,walk-in,Network,1 High,This is a description,4 - Low,On Hold,Normal
INC28,2020-02-04 08:07:45,UserG,2020-02-18 01:54:25,,,2020-03-20 19:11:13,,UserA,,2020-05-02 07:34:11,walk-in,Smartphone,2 Medium,This is a description,2 - High,Closed,
INC29,2020-01-21 02:32:23,UserA,2020-03-24 17:24:18,,,,,UserB,,,email,Software,2 Medium,This is a description,1 - Critical,On Hold,Overdue
INC30,2020-01-01 18:59:56,UserE,2020-02-14 10:10:24,,,2020-04-21 14:05:36,,UserE,,,walk-in,Hardware,2 Medium,This is a description,5 - Planning,Normal,Overdue
INC31,2020-02-03 13:56:29,UserG,2020-02-12 12:30:46,,,,2020-09-24 13:25:09,UserA,2020-05-19 17:21:14,2020-06-24 05:30:10,email,Network,1 High,This is a description,3 - Moderate,In Progress,New
INC32,2020-01-24 11:48:04,UserD,2020-02-28 04:24:45,,,,,UserD,,,walk-in,Hardware,2 Medium,This is a description,3 - Moderate,In Progress,New
INC33,2020-01-02 13:10:46,UserD,2020-02-16 23:25:08,,2020-07-15 18:22:34,2020-03-12 06:59:09,,UserB,2020-05-16 07:01:24,,email,Help,2 Medium,This is a description,3 - Moderate,In Progress,
INC34,2020-01-02 00:01:42,UserC,2020-02-25 04:41:40,,,2020-04-20 05:30:52,,UserE,2020-04-11 10:28:05,,phone,Help,1 High,This is a description,4 - Low,,Overdue
INC35,2020-01-25 07:18:25,UserF,2020-03-26 12:07:43,,,,,UserF,,,walk-in,Hardware,2 Medium,This is a description,4 - Low,In Progress,
INC36,2020-01-05 00:41:01,UserE,2020-03-16 05:20:35,,,,,UserG,,,walk-in,Hardware,3 Low,This is a description,1 - Critical,Normal,High
INC37,2020-01-23 13:03:07,UserA,2020-02-09 16:47:22,,,2020-03-08 14:31:25,,UserB,2020-05-15 00:09:46,,walk-in,Network,2 Medium,This is a description,2 - High,In Progress,Normal
INC38,2020-02-08 08:56:16,UserA,2020-03-21 01:16:07,2020-06-20 01:19:14,,,,UserC,,,walk-in,Help,2 Medium,This is a description,3 - Moderate,Normal,Moderate
INC39,2020-01-09 07:22:12,UserD,2020-03-10 14:39:01,,2020-07-04 06:58:30,,2020-09-01 22:01:10,UserA,,,email,Help,1 High,This is a description,1 - Critical,On Hold,Normal
INC40,2020-02-16 12:29:32,UserF,2020-03-28 22:29:57,,,,,UserD,,2020-06-16 12:19:31,walk-in,Smartphone,2 Medium,This is a description,2 - High,,
INC41,2020-01-14 21:10:15,UserA,2020-02-17 01:26:13,,,,,UserD,,,walk-in,Help,2 Medium,This is a description,5 - Planning,On Hold,Overdue
INC42,2020-01-18 05:31:01,UserD,2020-03-24 09:51:26,,,,,UserA,,,walk-in,Hardware,3 Low,This is a description,3 - Moderate,In Progress,
INC43,2020-01-15 04:29:17,UserG,2020-02-13 03:45:36,2020-07-28 12:02:45,,2020-03-06 22:34:38,,UserD,2020-04-09 02:07:33,,email,Hardware,3 Low,This is a description,2 - High,In Progress,New
INC44,2020-02-07 22:54:17,UserF,2020-02-01 06:25:17,,,,,UserA,,,email,Help,3 Low,This is a description,3 - Moderate,In Progress,Normal
INC45,2020-02-05 07:59:05,UserE,2020-02-08 17:48:14,,,2020-04-05 10:22:23,2020-09-24 07:05:53,UserB,2020-04-20 16:59:30,,email,Help,2 Medium,This is a description,4 - Low,In Progress,High
INC46,2020-01-08 00:01:03,UserB,2020-02-26 10:30:56,,2020-07-14 11:24:52,,,UserA,,,email,Hardware,2 Medium,This is a description,4 - Low,Normal,Moderate
INC47,2020-01-02 09:04:10,UserA,2020-03-19 15:41:53,,,2020-04-03 02:16:49,,UserC,,2020-06-18 04:34:27,email,Software,2 Medium,This is a description,4 - Low,,Normal
INC48,2020-02-03 15:07:17,UserD,2020-02-01 09:41:50,,,,,UserD,2020-04-27 10:49:29,2020-06-17 08:47:49,email,Help,1 High,This is a description,3 - Moderate,Normal,
INC49,2020-02-27 06:43:16,UserB,2020-03-03 10:04:55,,,2020-04-01 14:21:46,,UserB,,2020-06-25 06:45:37,phone,Software,2 Medium,This is a description,2 - High,Closed,Overdue
INC50,2020-02-28 22:11:01,UserB,2020-02-06 02:31:43,,,2020-04-27 02:17:28,,UserB,,,walk-in,Software,3 Low,This is a description,4 - Low,,
INC51,2020-01-26 14:39:42,UserB,2020-03-11 09:50:37,,,2020-03-04 21:23:38,,UserG,,,email,Software,2 Medium,This is a description,4 - Low,In Progress,Moderate
INC52,2020-01-16 10:07:20,UserB,2020-02-02 22:45:03,2020-06-25 23:15:45,2020-08-16 20:47:13,,,UserA,2020-04-28 12:17:05,,walk-in,Help,2 Medium,This is a description,5 - Planning,In Progress,
INC53,2020-01-01 23:10:53,UserA,2020-03-25 19:57:18,,,,,UserF,,,walk-in,Hardware,3 Low,This is a description,4 - Low,In Progress,New
INC54,2020-01-24 14:04:18,UserF,2020-03-06 04:47:31,2020-07-11 13:32:49,,,,UserD,,2020-06-26 00:18:25,walk-in,Help,2 Medium,This is a description,5 - Planning,In Progress,Normal
INC55,2020-02-06 20:44:15,UserA,2020-02-09 00:35:58,,2020-07-27 10:43:22,2020-03-23 16:58:25,,UserD,,,walk-in,Help,2 Medium,This is a description,3 - Moderate,Normal,High
INC56,2020-02-14 21:55:10,UserC,2020-03-04 17:15:55,,2020-08-19 17:24:50,2020-03-11 11:03:07,,UserA,,,email,Help,2 Medium,This is a description,4 - Low,In Progress,
INC57,2020-01-03 07:30:51,UserA,2020-03-12 04:07:34,,,,,UserE,2020-04-14 02:59:50,2020-06-17 02:13:43,email,Help,3 Low,This is a description,3 - Moderate,On Hold,
INC58,2020-02-20 03:32:06,UserC,2020-02-25 16:38:04,2020-07-06 17:06:23,,2020-03-05 04:03:03,,UserF,2020-04-07 09:22:09,2020-06-28 22:36:37,email,Software,2 Medium,This is a description,2 - High,Normal,Overdue
INC59,2020-01-14 06:47:23,UserA,2020-02-14 15:36:45,,,,,UserE,,2020-05-06 06:20:26,walk-in,Help,1 High,This is a description,1 - Critical,In Progress,Moderate
INC60,2020-01-07 14:56:13,UserA,2020-02-12 14:07:45,,2020-07-21 19:40:20,2020-04-06 18:14:45,,UserA,,,walk-in,Help,3 Low,This is a description,4 - Low,Normal,New
INC61,2020-01-18 04:49:42,UserD,2020-02-06 20:10:59,2020-07-06 19:05:03,,2020-03-19 11:54:34,,UserA,2020-04-27 00:07:12,2020-06-14 19:45:26,email,Help,2 Medium,This is a description,2 - High,In Progress,
INC62,2020-02-20 19:13:32,UserD,2020-03-21 15:38:44,2020-06-08 09:47:03,2020-07-19 11:30:01,2020-04-21 06:23:15,,UserD,,2020-06-23 08:50:49,walk-in,Hardware,1 High,This is a description,2 - High,,Overdue
INC63,2020-01-16 16:39:49,UserB,2020-02-08 07:57:57,,2020-08-15 06:10:26,,,UserA,2020-04-02 05:08:39,,email,Software,2 Medium,This is a description,3 - Moderate,Normal,Moderate
INC64,2020-01-16 15:01:41,UserA,2020-02-18 20:59:49,,,,,UserA,2020-05-24 06:53:17,2020-06-15 02:16:11,email,Hardware,1 High,This is a description,2 - High,Normal,
INC65,2020-01-04 23:57:37,UserA,2020-02-20 18:08:20,,,,,UserB,,,walk-in,Smartphone,1 High,This is a description,3 - Moderate,,New
INC66,2020-02-25 12:51:30,UserB,2020-03-04 11:51:13,,,,2020-10-12 19:36:23,UserA,,,walk-in,Help,2 Medium,This is a description,1 - Critical,In Progress,New
INC67,2020-01-18 03:33:45,UserA,2020-02-22 03:44:35,,2020-07-23 13:31:51,,,UserA,2020-05-07 15:19:10,,walk-in,Network,2 Medium,This is a description,2 - High,On Hold,Moderate
INC68,2020-02-25 22:26:44,UserA,2020-03-27 13:46:38,2020-07-08 10:09:40,2020-08-26 11:24:56,2020-03-22 00:41:44,,UserA,2020-04-12 22:56:59,,walk-in,Help,3 Low,This is a description,3 - Moderate,Normal,
INC69,2020-02-23 04:04:44,UserE,2020-02-05 20:57:31,,,2020-04-16 11:54:24,,UserB,,2020-05-01 07:55:24,email,Smartphone,3 Low,This is a description,2 - High,In Progress,Normal
INC70,2020-02-07 03:56:46,UserC,2020-02-08 18:28:46,,,,,UserB,2020-04-28 18:46:11,,phone,Help,2 Medium,This is a description,5 - Planning,Normal,
INC71,2020-01-07 09:52:56,UserB,2020-02-23 17:11:56,,2020-08-24 16:10:52,2020-03-03 23:52:39,,UserB,,2020-06-20 00:42:33,email,Hardware,2 Medium,This is a description,3 - Moderate,In Progress,Normal
INC72,2020-02-20 12:42:49,UserB,2020-02-24 23:11:22,,,2020-04-25 17:13:54,,UserE,2020-05-13 19:56:56,,walk-in,Hardware,3 Low,This is a description,5 - Planning,,New
INC73,2020-01-16 18:24:39,UserE,2020-03-28 08:35:02,,,,,UserD,2020-05-23 08:40:27,,walk-in,Hardware,2 Medium,This is a description,4 - Low,In Progress,Overdue
INC74,2020-02-26 00:19:45,UserC,2020-03-26 04:23:16,,,2020-04-21 15:21:16,,UserB,2020-04-06 02:13:42,2020-06-19 16:43:26,email,Help,2 Medium,This is a description,2 - High,Closed,Normal
INC75,2020-01-21 17:43:28,UserA,2020-02-06 12:22:34,,,,,UserC,2020-04-28 19:14:08,,walk-in,Hardware,1 High,This is a description,1 - Critical,Normal,
INC76,2020-02-28 09:53:28,UserF,2020-02-19 23:57:40,,,2020-04-28 00:46:38,,UserC,,,walk-in,Help,2 Medium,This is a description,2 - High,Closed,Normal
INC77,2020-01-11 17:27:38,UserA,2020-02-02 13:48:34,,2020-07-19 19:31:49,,,UserA,,,phone,Smartphone,3 Low,This is a description,3 - Moderate,Normal,Normal
INC78,2020-02-27 22:24:23,UserF,2020-02-05 13:52:01,,,2020-03-13 23:09:22,,UserD,,2020-05-17 00:58:29,walk-in,Software,1 High,This is a description,3 - Moderate,In Progress,
INC79,2020-01-28 19:42:41,UserA,2020-03-21 03:44:08,,2020-07-24 21:07:26,,,UserF,,,walk-in,Smartphone,2 Medium,This is a description,3 - Moderate,Normal,High
INC80,2020-01-13 05:08:39,UserB,2020-03-28 05:20:26,,,2020-04-01 03:27:05,,UserG,2020-05-27 03:55:53,,phone,Help,1 High,This is a description,3 - Moderate,On Hold,Overdue
INC81,2020-01-20 11:27:07,UserD,2020-02-05 13:28:56,,,,,UserA,,2020-06-02 13:06:47,email,Help,2 Medium,This is a description,4 - Low,,Overdue
INC82,2020-02-22 06:51:12,UserC,2020-03-09 16:25:38,,,2020-03-26 20:19:12,,UserG,,2020-06-24 08:28:38,email,Help,1 High,This is a description,5 - Planning,Normal,New
INC83,2020-01-17 15:58:48,UserE,2020-02-05 14:13:38,,,2020-04-04 02:18:25,2020-10-01 12:32:19,UserB,,,walk-in,Software,2 Medium,This is a description,4 - Low,Normal,New
INC84,2020-01-21 02:08:39,UserA,2020-02-18 12:45:58,,,,,UserE,,2020-06-15 13:57:34,walk-in,Help,1 High,This is a description,4 - Low,In Progress,Overdue
INC85,2020-01-04 21:54:31,UserC,2020-03-25 12:28:46,,2020-07-28 02:13:13,2020-04-01 18:05:53,,UserF,,,walk-in,Hardware,3 Low,This is a description,2 - High,Normal,
INC86,2020-02-04 01:52:36,UserG,2020-03-03 11:01:10,,2020-07-17 09:45:58,,,UserA,,,walk-in,Help,2 Medium,This is a description,4 - Low,In Progress,Overdue
INC87,2020-02-12 07:59:07,UserA,2020-03-20 10:06:13,,2020-07-16 16:14:29,2020-03-12 03:22:12,,UserB,2020-04-23 12:09:50,,email,Network,2 Medium,This is a description,2 - High,In Progress,Overdue
INC88,2020-01-13 12:37:05,UserB,2020-03-03 16:30:41,,,,,UserB,,2020-05-18 04:51:32,walk-in,Help,3 Low,This is a description,2 - High,Normal,Moderate
INC89,2020-01-15 23:40:24,UserB,2020-02-08 14:35:52,2020-07-16 02:13:02,2020-07-20 14:26:39,,,UserA,2020-05-22 04:42:34,,walk-in,Software,2 Medium,This is a description,2 - High,Normal,Normal
INC90,2020-02-07 23:13:06,UserB,2020-02-07 00:18:48,,,2020-04-20 19:50:35,,UserA,,2020-06-15 07:31:23,walk-in,Help,1 High,This is a description,5 - Planning,In Progress,Overdue
INC91,2020-01-02 13:18:25,UserA,2020-03-08 21:35:35,,,,2020-09-18 19:14:12,UserG,,,email,Help,2 Medium,This is a description,3 - Moderate,Normal,
INC92,2020-01-05 13:03:28,UserG,2020-03-13 06:06:49,,,,,UserA,2020-04-15 05:30:41,,walk-in,Smartphone,2 Medium,This is a description,4 - Low,Normal,Moderate
INC93,2020-02-18 18:53:21,UserD,2020-02-25 13:56:19,,,2020-03-07 12:25:33,,UserD,2020-05-21 23:23:23,,email,Smartphone,2 Medium,This is a description,4 - Low,,Normal
INC94,2020-01-04 10:13:45,UserA,2020-03-19 19:27:45,,2020-08-06 03:43:11,2020-03-20 12:39:39,,UserB,,,walk-in,Smartphone,2 Medium,This is a description,2 - High,In Progress,Normal
INC95,2020-01-04 19:34:03,UserD,2020-03-27 02:25:56,,,2020-03-04 22:51:23,,UserB,2020-05-01 04:20:22,,walk-in,Hardware,2 Medium,This is a description,4 - Low,Normal,Moderate
INC96,2020-02-19 01:52:07,UserA,2020-03-11 06:32:20,,,,,UserD,,2020-05-25 11:04:33,walk-in,Help,2 Medium,This is a description,4 - Low,In Progress,
INC97,2020-02-14 17:49:36,UserG,2020-03-12 05:17:07,2020-07-08 20:13:42,,2020-03-16 06:22:28,,UserA,,,email,Help,1 High,This is a description,5 - Planning,Normal,New
INC98,2020-02-13 00:27:01,UserD,2020-03-16 17:06:42,,,2020-03-20 11:06:41,2020-09-06 01:50:31,UserB,,,walk-in,Hardware,2 Medium,This is a description,3 - Moderate,,Normal
INC99,2020-02-14 07:52:52,UserD,2020-02-24 13:01:48,,,,,UserB,2020-04-22 02:16:49,,walk-in,Smartphone,2 Medium,This is a description,2 - High,Closed,New
INC100,2020-01-28 11:20:57,UserB,2020-03-04 15:45:35,2020-07-06 14:39:41,,2020-03-15 14:47:06,,UserD,,,email,Hardware,1 High,This is a description,3 - Moderate,,Moderate
INC101,2020-01-16 03:36:25,UserC,2020-03-19 09:22:23,,,2020-03-26 03:32:52,,UserB,,,email,Help,2 Medium,This is a description,3 - Moderate,,Overdue
INC102,2020-02-11 03:29:58,UserA,2020-03-15 20:56:44,,,2020-04-24 07:45:42,,UserD,2020-05-20 07:16:41,,walk-in,Help,1 High,This is a description,4 - Low,In Progress,New
INC103,2020-02-11 14:35:28,UserC,2020-02-02 16:15:11,,,2020-03-19 13:53:07,,UserE,,,walk-in,Software,3 Low,This is a description,1 - Critical,In Progress,
INC104,2020-02-03 11:14:50,UserE,2020-02-22 16:45:21,,,,,UserA,,2020-05-20 21:13:44,phone,Help,2 Medium,This is a description,3 - Moderate,Normal,New
INC105,2020-01-11 02:46:44,UserA,2020-02-25 09:49:30,,,,2020-09-19 04:51:52,UserB,2020-04-23 00:56:46,,email,Hardware,2 Medium,This is a description,3 - Moderate,,New
INC106,2020-01-08 07:43:10,UserF,2020-03-09 07:38:41,,,,,UserA,2020-04-25 17:43:22,,email,Software,3 Low,This is a description,4 - Low,Closed,Moderate
INC107,2020-02-24 23:43:46,UserB,2020-02-01 06:55:49,,,,,UserB,,,walk-in,Hardware,1 High,This is a description,3 - Moderate,Normal,
INC108,2020-02-13 05:39:14,UserG,2020-03-17 18:59:09,,,2020-04-15 15:47:39,,UserA,,,walk-in,Hardware,1 High,This is a description,5 - Planning,In Progress,
INC109,2020-02-08 19:19:08,UserB,2020-03-20 12:05:27,2020-07-11 04:03:42,,2020-03-27 06:30:47,2020-10-24 15:13:27,UserF,,2020-05-15 14:48:59,walk-in,Smartphone,3 Low,This is a description,3 - Moderate,,Moderate
INC110,2020-02-06 20:40:13,UserG,2020-03-26 07:46:11,,,2020-03-04 10:21:37,,UserD,,,phone,Help,2 Medium,This is a description,4 - Low,Normal,Overdue
INC111,2020-01-12 08:31:22,UserB,2020-03-19 10:55:34,,,,,UserB,,,walk-in,Network,3 Low,This is a description,4 - Low,In Progress,Normal
INC112,2020-01-07 21:41:52,UserE,2020-02-19 23:40:28,,,2020-03-23 03:06:03,2020-10-28 02:11:35,UserA,,2020-05-09 02:44:04,walk-in,Network,2 Medium,This is a description,2 - High,Normal,Normal
INC113,2020-01-13 19:26:23,UserD,2020-03-13 13:19:29,,2020-08-16 21:20:37,,,UserA,,,walk-in,Help,2 Medium,This is a description,2 - High,In Progress,High
INC114,2020-01-28 07:35:42,UserA,2020-02-05 22:51:10,,,,,UserD,,,walk-in,Hardware,3 Low,This is a description,2 - High,Closed,
INC115,2020-02-05 02:48:39,UserC,2020-03-04 10:07:04,2020-06-27 21:38:02,2020-08-27 15:09:57,,,UserB,2020-05-06 18:05:14,,walk-in,Hardware,2 Medium,This is a description,2 - High,In Progress,Moderate
INC116,2020-02-14 19:48:54,UserE,2020-02-16 00:24:38,,,,2020-10-03 10:22:03,UserF,2020-04-20 04:21:02,,phone,Smartphone,2 Medium,This is a description,3 - Moderate,Normal,Overdue
INC117,2020-01-16 09:49:19,UserB,2020-02-05 10:51:47,,,2020-04-21 16:36:05,,UserC,,,phone,Help,2 Medium,This is a description,3 - Moderate,,
INC118,2020-01-24 03:25:15,UserA,2020-03-15 00:26:07,2020-07-01 09:40:19,,2020-04-21 10:38:56,,UserB,,,email,Network,1 High,This is a description,5 - Planning,Normal,Normal
INC119,2020-02-24 09:26:08,UserA,2020-03-17 20:52:56,2020-06-02 10:53:04,,,,UserB,,,email,Smartphone,2 Medium,This is a description,5 - Planning,In Progress,New
INC120,2020-01-20 00:03:47,UserF,2020-03-12 05:03:51,,,,,UserF,2020-04-17 11:15:26,2020-06-24 06:14:41,walk-in,Hardware,3 Low,This is a description,3 - Moderate,Normal,
INC121,2020-02-08 14:41:45,UserD,2020-02-21 14:01:29,,,,,UserB,,,walk-in,Hardware,2 Medium,This is a description,3 - Moderate,In Progress,New
INC122,2020-02-21 18:33:57,UserG,2020-02-20 08:22:30,,,,,UserA,,,email,Software,2 Medium,This is a description,4 - Low,In Progress,
INC123,2020-01-01 16:58:21,UserB,2020-02-07 01:40:55,,,,,UserF,,2020-06-16 01:58:42,email,Smartphone,2 Medium,This is a description,4 - Low,,Overdue
INC124,2020-02-05 12:37:36,UserA,2020-03-05 14:54:35,,,,,UserA,,,email,Help,3 Low,This is a description,4 - Low,,Overdue
INC125,2020-02-19 03:37:16,UserA,2020-03-04 21:54:16,,,2020-04-28 03:47:06,,UserA,,2020-05-17 18:09:45,email,Hardware,2 Medium,This is a description,2 - High,,Normal
INC126,2020-01-13 17:43:45,UserA,2020-03-03 21:57:46,,,2020-03-03 19:29:29,,UserF,,,walk-in,Software,1 High,This is a description,3 - Moderate,In Progress,Overdue
INC127,2020-02-04 10:55:07,UserB,2020-02-11 00:08:13,,,2020-03-07 06:47:43,2020-10-15 12:34:59,UserA,,,walk-in,Network,2 Medium,This is a description,3 - Moderate,On Hold,Normal
INC128,2020-01-28 21:02:11,UserA,2020-02-09 01:18:14,2020-07-01 07:13:09,,2020-04-17 21:43:07,,UserA,,,walk-in,Hardware,1 High,This is a description,5 - Planning,On Hold,Normal
INC129,2020-01-13 12:15:37,UserA,2020-02-05 01:27:09,,,2020-03-28 07:22:15,,UserA,,2020-05-25 12:41:12,walk-in,Smartphone,1 High,This is a description,3 - Moderate,Closed,Overdue
INC130,2020-02-05 00:42:35,UserD,2020-02-20 00:58:28,2020-06-17 10:42:42,,2020-03-21 17:07:09,,UserA,,2020-05-24 15:58:19,walk-in,Software,3 Low,This is a description,4 - Low,On Hold,New
INC131,2020-02-03 00:29:58,UserE,2020-02-27 13:54:04,,2020-08-15 13:39:13,,,UserB,,,email,Network,3 Low,This is a description,2 - High,Normal,
INC132,2020-02-23 14:27:06,UserF,2020-02-05 14:03:39,,2020-08-05 20:55:40,2020-03-14 18:33:09,,UserA,,,email,Software,2 Medium,This is a description,2 - High,In Progress,Overdue
INC133,2020-01-15 01:44:10,UserB,2020-03-04 06:41:20,,,,,UserA,2020-04-11 17:12:06,,walk-in,Software,2 Medium,This is a description,2 - High,On Hold,Overdue
INC134,2020-02-04 19:51:43,UserC,2020-03-23 20:28:10,,,2020-03-08 10:11:51,,UserF,2020-04-13 17:18:17,,email,Help,1 High,This is a description,1 - Critical,Closed,
INC135,2020-02-15 02:49:37,UserA,2020-02-02 06:14:44,2020-07-26 00:43:08,,,,UserE,,,phone,Smartphone,2 Medium,This is a description,3 - Moderate,Normal,High
INC136,2020-02-01 00:14:25,UserA,2020-03-15 16:49:11,,,,,UserB,2020-05-04 17:14:45,2020-06-15 03:02:26,email,Network,3 Low,This is a description,4 - Low,In Progress,Overdue
INC137,2020-02-28 03:45:10,UserB,2020-02-24 00:17:16,,,2020-04-20 08:10:40,,UserE,2020-04-27 07:59:58,2020-05-16 04:57:29,email,Hardware,1 High,This is a description,3 - Moderate,In Progress,Overdue
INC138,2020-01-23 10:25:16,UserA,2020-02-09 16:07:15,,,,,UserA,,,walk-in,Hardware,2 Medium,This is a description,1 - Critical,In Progress,Overdue
INC139,2020-01-04 10:39:18,UserE,2020-02-03 12:29:17,,,,,UserA,2020-05-21 19:53:56,2020-05-10 04:44:27,walk-in,Hardware,2 Medium,This is a description,3 - Moderate,In Progress,Overdue
INC140,2020-02-12 07:15:17,UserA,2020-02-13 06:51:27,2020-07-13 19:38:26,,2020-03-26 05:25:02,,UserA,,,email,Help,1 High,This is a description,3 - Moderate,Normal,Normal
INC141,2020-01-07 06:53:05,UserC,2020-03-10 21:26:43,,,2020-03-08 21:09:23,,UserF,,,walk-in,Help,1 High,This is a description,3 - Moderate,,Overdue
INC142,2020-01-12 23:19:22,UserE,2020-03-10 09:18:15,,,,,UserD,2020-04-26 12:36:15,,walk-in,Hardware,1 High,This is a description,2 - High,Normal,
INC143,2020-01-02 23:16:26,UserD,2020-02-05 02:41:49,,,,2020-09-07 00:46:12,UserA,,2020-06-13 21:56:20,phone,Software,2 Medium,This is a description,2 - High,On Hold,New
INC144,2020-01-03 07:50:42,UserB,2020-02-08 21:32:30,,,2020-04-23 15:56:57,,UserA,2020-04-19 21:56:59,,email,Hardware,2 Medium,This is a description,1 - Critical,In Progress,New
INC145,2020-02-05 09:13:07,UserA,2020-02-04 08:55:41,,,2020-03-07 11:02:24,,UserA,,,phone,Help,3 Low,This is a description,5 - Planning,Normal,Overdue
